"side","fixture","phase","round","order","exit_code","valid","elapsed_usec","trace_sha256","counter_source","query_calls","parameter_build_count","intersect_shape_count","cast_motion_count","rest_info_count","probe_count","candidate_scan_count","sort_comparison_count","scratch_parameter_count","terminal_hits","health_match_count","log"
"before","projectile","measured","25","1","0","True","136551","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_25.log"
"after","projectile","measured","25","2","0","True","131050","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_25.log"
"before","projectile","measured","26","2","0","True","137713","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_26.log"
"after","projectile","measured","26","1","0","True","124325","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_26.log"
"before","projectile","measured","27","1","0","True","136244","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_27.log"
"after","projectile","measured","27","2","0","True","117316","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_27.log"
"before","projectile","measured","28","2","0","True","134453","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_28.log"
"after","projectile","measured","28","1","0","True","131987","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_28.log"
"before","projectile","measured","29","1","0","True","133349","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_29.log"
"after","projectile","measured","29","2","0","True","123527","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_29.log"
"before","projectile","measured","30","2","0","True","134102","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","legacy_code_formula","12000","24200","24200","24000","200","200","200","0","0","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\before\measured_30.log"
"after","projectile","measured","30","1","0","True","118490","67ec8c0d02b36bc5d3de4a7d5383b3d71b42d788ae5313f444487d4252b1b798","adapter_instrumentation_replay","12000","800","24200","24000","200","200","200","0","800","200","200","C:\tmp\element-dungeon-task34-third-final-artifacts-20260807-01\perf_projectile_cast_v1\projectile\after\measured_30.log"
