col,row,left_sig,right_sig,top_sig,bottom_sig
1,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
2,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
3,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
4,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
5,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
6,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
7,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
8,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
9,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
10,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
11,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
12,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
13,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
14,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
15,10,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa,38723a2e5e8a17aa
0,11,e71dfc1486658a0a,91a21dcfbabadd0d,d8e26b09d984d5d5,bd6c78bff83497bb
1,11,99f4c50090bc0ae9,bb2c6c10924f3419,1964f06d49d08100,3376f3a0c766d1c3
2,11,2e7aefde71913830,9bb948a46f9c3f48,38723a2e5e8a17aa,a31951cd0f1f6bdc
3,11,38723a2e5e8a17aa,38723a2e5e8a17aa,9a98d554848cd587,38723a2e5e8a17aa
4,11,904b909560fcf70c,f97eb1b929a76a01,38723a2e5e8a17aa,3ded79beb55f4d49
5,11,e6144fb52f06c66b,e6144fb52f06c66b,38723a2e5e8a17aa,3ded79beb55f4d49
