col,row,name,blank_manifest,alpha_bbox_local,visible_pixels,partial_alpha_pixels,touch_left,touch_right,touch_top,touch_bottom,outside_cell_pixels
13,11,foreground_tidal_occluder_13,no,"(0, 27, 32, 32)",160,0,true,true,false,true,0
14,11,foreground_tidal_occluder_14,no,"(0, 0, 12, 32)",278,0,true,false,true,true,0
15,11,foreground_tidal_occluder_15,no,"(20, 0, 32, 32)",278,0,false,true,true,true,0
0,12,foreground_tidal_occluder_16,no,"(0, 0, 32, 32)",459,0,true,true,true,true,0
1,12,foreground_tidal_occluder_17,no,"(0, 0, 32, 32)",1022,0,true,true,true,true,0
2,12,foreground_tidal_occluder_18,no,"(0, 6, 32, 32)",368,0,true,true,false,true,0
3,12,foreground_tidal_occluder_19,no,"(12, 0, 21, 31)",105,0,false,false,true,false,0
4,12,blank_foreground_reserved_12_4,yes,None,0,0,false,false,false,false,0
5,12,blank_foreground_reserved_12_5,yes,None,0,0,false,false,false,false,0
6,12,blank_foreground_reserved_12_6,yes,None,0,0,false,false,false,false,0
7,12,blank_foreground_reserved_12_7,yes,None,0,0,false,false,false,false,0
8,12,blank_foreground_reserved_12_8,yes,None,0,0,false,false,false,false,0
9,12,blank_foreground_reserved_12_9,yes,None,0,0,false,false,false,false,0
10,12,blank_foreground_reserved_12_10,yes,None,0,0,false,false,false,false,0
11,12,blank_foreground_reserved_12_11,yes,None,0,0,false,false,false,false,0
12,12,blank_foreground_reserved_12_12,yes,None,0,0,false,false,false,false,0
13,12,blank_foreground_reserved_12_13,yes,None,0,0,false,false,false,false,0
14,12,blank_foreground_reserved_12_14,yes,None,0,0,false,false,false,false,0
15,12,blank_foreground_reserved_12_15,yes,None,0,0,false,false,false,false,0
0,13,decor_tidal_00,no,"(0, 0, 23, 22)",173,0,true,false,true,false,0
1,13,decor_tidal_01,no,"(0, 6, 32, 32)",368,0,true,true,false,true,0
2,13,decor_tidal_02,no,"(8, 5, 20, 29)",28,0,false,false,false,false,0
3,13,decor_tidal_03,no,"(5, 15, 27, 28)",111,0,false,false,false,false,0
4,13,decor_tidal_04,no,"(7, 12, 25, 31)",116,0,false,false,false,false,0
5,13,decor_tidal_05,no,"(12, 3, 20, 31)",72,0,false,false,false,false,0
6,13,decor_tidal_06,no,"(3, 12, 30, 21)",58,0,false,false,false,false,0
7,13,decor_tidal_07,no,"(13, 12, 20, 20)",56,0,false,false,false,false,0
8,13,decor_tidal_08,no,"(11, 12, 22, 30)",128,0,false,false,false,false,0
9,13,decor_tidal_09,no,"(7, 19, 30, 32)",145,0,false,false,false,true,0
10,13,decor_tidal_10,no,"(13, 13, 20, 20)",49,0,false,false,false,false,0
11,13,decor_tidal_11,no,"(7, 24, 26, 28)",19,0,false,false,false,false,0
12,13,decor_tidal_12,no,"(0, 0, 23, 22)",173,0,true,false,true,false,0
13,13,decor_tidal_13,no,"(0, 6, 32, 32)",368,0,true,true,false,true,0
14,13,decor_tidal_14,no,"(8, 5, 20, 29)",28,0,false,false,false,false,0
15,13,decor_tidal_15,no,"(5, 15, 27, 28)",111,0,false,false,false,false,0
0,14,decor_tidal_16,no,"(7, 12, 25, 31)",116,0,false,false,false,false,0
1,14,decor_tidal_17,no,"(12, 3, 20, 31)",72,0,false,false,false,false,0
2,14,decor_tidal_18,no,"(3, 12, 30, 21)",58,0,false,false,false,false,0
3,14,decor_tidal_19,no,"(13, 12, 20, 20)",56,0,false,false,false,false,0
4,14,decor_tidal_20,no,"(11, 12, 22, 30)",128,0,false,false,false,false,0
5,14,decor_tidal_21,no,"(7, 19, 30, 32)",145,0,false,false,false,true,0
6,14,decor_tidal_22,no,"(13, 13, 20, 20)",49,0,false,false,false,false,0
7,14,decor_tidal_23,no,"(7, 24, 26, 28)",19,0,false,false,false,false,0
8,14,blank_decor_reserved_14_8,yes,None,0,0,false,false,false,false,0
9,14,blank_decor_reserved_14_9,yes,None,0,0,false,false,false,false,0
10,14,blank_decor_reserved_14_10,yes,None,0,0,false,false,false,false,0
11,14,blank_decor_reserved_14_11,yes,None,0,0,false,false,false,false,0
12,14,blank_decor_reserved_14_12,yes,None,0,0,false,false,false,false,0
13,14,blank_decor_reserved_14_13,yes,None,0,0,false,false,false,false,0
14,14,blank_decor_reserved_14_14,yes,None,0,0,false,false,false,false,0
15,14,blank_decor_reserved_14_15,yes,None,0,0,false,false,false,false,0
0,15,blank_decor_reserved_15_0,yes,None,0,0,false,false,false,false,0
1,15,blank_decor_reserved_15_1,yes,None,0,0,false,false,false,false,0
2,15,blank_decor_reserved_15_2,yes,None,0,0,false,false,false,false,0
3,15,blank_decor_reserved_15_3,yes,None,0,0,false,false,false,false,0
4,15,blank_decor_reserved_15_4,yes,None,0,0,false,false,false,false,0
5,15,blank_decor_reserved_15_5,yes,None,0,0,false,false,false,false,0
6,15,blank_decor_reserved_15_6,yes,None,0,0,false,false,false,false,0
7,15,blank_decor_reserved_15_7,yes,None,0,0,false,false,false,false,0
8,15,blank_decor_reserved_15_8,yes,None,0,0,false,false,false,false,0
9,15,blank_decor_reserved_15_9,yes,None,0,0,false,false,false,false,0
10,15,blank_decor_reserved_15_10,yes,None,0,0,false,false,false,false,0
11,15,blank_decor_reserved_15_11,yes,None,0,0,false,false,false,false,0
12,15,blank_decor_reserved_15_12,yes,None,0,0,false,false,false,false,0
13,15,blank_decor_reserved_15_13,yes,None,0,0,false,false,false,false,0
14,15,blank_decor_reserved_15_14,yes,None,0,0,false,false,false,false,0
15,15,blank_decor_reserved_15_15,yes,None,0,0,false,false,false,false,0
